Country,CovidDeaths,Over65percnt,HospitalBeds,GINI,Obesity rate,Latitude,O+,A+,B+,AB+,O-,A-,B-,AB-
Argentina,16.263,11.1177888760774,4.5,41.2,28.3,-38.416097,45.40,34.26,8.59,2.64,8.40,0.44,0.21,0.06
Armenia,76.605,11.2538176570131,3.7,33.6,20.2,40.069099,29.00,46.30,12.00,5.60,2.00,3.70,1.00,0.40
Australia,4,15.6564752275591,3.8,35.8,29,-25.274398,40.00,31.00,8.00,2.00,9.00,7.00,2.00,1.00
Austria,74.725,19.0015664595899,7.7,30.5,20.1,47.516231,30.00,37.00,12.00,5.00,6.00,7.00,2.00,1.00
Bangladesh,6.145,5.15839063962068,0.6,32.4,3.6,23.684994,31.80,21.44,34.58,16.85,1.39,0.96,0.96,0.64
Belgium,830.83,18.7887437383395,6.4,27.7,22.1,50.503887,38.00,34.00,8.60,4.10,7.00,6.00,1.50,0.80
Bolivia,43.862,7.19194739218447,1.1,44,20.2,-16.290154,51.53,29.45,10.11,1.15,4.39,2.73,0.54,0.10
Bosnia and Herzegovina,48.768,16.4703174710621,3.5,33,17.9,43.915886,31.00,36.00,12.00,6.00,5.00,7.00,2.00,1.00
Brazil,186.677,8.92283783244003,2.3,53.3,22.1,-14.235004,36.00,34.00,8.00,2.50,9.00,8.00,2.00,0.50
Bulgaria,24.034,21.021914434268,6.4,37.4,25,42.733883,28.00,37.00,13.00,7.00,5.00,7.00,2.00,1.00
Cameroon,7.835,2.72887735524057,?,46.6,11.4,7.369722,42.80,38.80,12.00,3.30,1.40,1.20,0.40,0.10
Canada,210.905,17.2320066788651,2.7,34,29.4,56.130366,39.00,36.00,7.60,2.50,7.00,6.00,1.40,0.50
Chile,129.471,11.5298016568816,2.1,46.6,28,-35.675147,85.50,8.70,3.35,1.00,1.20,0.10,0.05,0.10
China,3.222,10.9208835350654,3.8,38.6,6.2,35.86166,47.70,27.80,18.90,5.00,0.28,0.19,0.10,0.03
Colombia,28.163,8.47804701986958,1.4,49.7,22.3,4.570868,61.30,26.11,2.28,1.47,5.13,2.70,0.70,0.31
Croatia,25.82,20.445433012423,5.7,31.1,24.4,45.1,29.00,36.00,15.00,5.00,5.00,6.00,3.00,1.00
Cyprus,20.55,13.7190617734483,3.5,34,21.8,35.126413,35.22,40.35,11.11,4.72,3.85,3.48,0.87,0.40
Czech Republic,30.628,19.4208768932343,6.8,25.9,26,49.817492,27.00,36.00,15.00,7.00,5.00,6.00,3.00,1.00
Denmark,102.379,19.8129526369902,3.1,28.2,19.7,56.26392,35.00,37.00,8.00,4.00,6.00,7.00,2.00,1.00
Dominican Republic,50.701,7.08281747649721,1.7,45.7,27.8,18.735693,46.20,26.40,16.90,3.10,3.70,2.10,1.40,0.20
Ecuador,210.848,7.15728972666108,1.6,44.7,19.9,-1.831239,75.00,14.00,7.10,0.50,2.38,0.70,0.30,0.02
Egypt,13.114,5.22977934620923,0.5,31.8,32,26.820553,52.00,24.00,12.40,3.80,5.00,2.00,0.60,0.20
El Salvador,9.867,8.28709000480629,1,38,24.6,13.794185,62.00,23.00,11.00,1.00,1.00,1.00,0.70,0.30
Estonia,52.015,19.6263568469749,5.3,32.7,21.2,58.595272,29.50,30.80,20.70,6.30,4.30,4.50,3.00,0.90
Ethiopia,0.304,3.50113299760986,6.3,35,4.5,9.145,39.00,28.00,21.00,5.00,3.00,2.00,1.00,1.00
Fiji,0,5.44968041263952,2.3,36.7,30.2,-16.578193,43.00,33.30,16.50,4.80,1.00,0.70,0.50,0.20
Finland,58.476,21.7207875455222,5.5,27.1,22.2,61.92411,28.00,35.00,16.00,7.00,5.00,6.00,2.00,1.00
France,449.171,20.0346247469881,6.6,32.7,21.6,46.227638,36.00,37.00,9.00,3.00,6.00,7.00,1.00,1.00
Germany,104.495,21.4619619953309,8.2,31.7,22.3,51.165691,35.00,37.00,9.00,4.00,6.00,6.00,2.00,1.00
Ghana,1.545,3.06889800693396,0.9,43.5,10.9,7.946527,53.80,17.60,18.30,2.80,4.50,1.30,1.30,0.20
Greece,17.557,21.6552720778435,4.5,36,24.9,39.074208,37.40,32.90,11.00,3.70,7.00,5.00,2.00,1.00
Guinea,1.751,2.92602244847935,0.3,33.7,7.7,9.945587,46.88,21.64,22.86,4.52,2.00,0.90,1.00,0.20
Honduras,29.279,4.69061765907812,0.7,50.5,21.4,15.199999,57.50,27.00,7.80,2.50,2.70,1.70,0.60,0.20
Hungary,57.037,19.1577253832321,7.2,30.4,26.4,47.162494,27.00,33.00,16.00,8.00,5.00,7.00,3.00,1.00
Iceland,29.304,14.7950925565689,3.3,27.8,21.9,64.963051,46.80,27.20,9.00,2.00,8.20,4.80,1.60,0.40
India,5.871,6.17995564947149,0.7,35.7,3.9,20.593684,27.85,20.80,38.14,8.93,1.43,0.57,1.79,0.49
Indonesia,7.162,5.85716561272863,?,38.1,6.9,-0.789275,36.82,25.87,28.85,7.96,0.18,0.13,0.15,0.04
Iran,101.27,6.18457380562499,1.7,40,25.8,32.427908,33.50,27.00,22.20,7.00,4.00,3.00,2.50,0.80
Iraq,10.591,3.32359966279505,1.3,29.5,30.4,33.223191,32.10,25.00,25.60,7.40,3.60,2.70,2.70,0.90
Ireland,343.271,13.8658017012923,2.9,31.8,25.3,53.41291,47.00,26.00,9.00,2.00,8.00,5.00,2.00,1.00
Israel,34.544,11.9769860249625,3.1,38.9,26.1,31.046051,32.00,34.00,17.00,7.00,3.00,4.00,2.00,1.00
Italy,564.224,22.7516796025077,3.5,35.4,19.9,41.87194,39.00,36.00,7.50,2.50,7.00,6.00,1.50,0.50
Jamaica,3.377,8.79664255070196,?,45.5,24.7,18.109581,47.00,23.00,20.00,3.00,3.50,2.00,1.00,0.50
Japan,7.274,27.576369910355,?,32.1,4.3,36.204824,29.90,39.80,19.90,9.90,0.15,0.20,0.10,0.05
Kazakhstan,3.568,7.39184627103032,7.1,27.5,21,48.019573,30.70,29.80,24.20,8.30,2.30,2.20,1.80,0.70
Kenya,1.655,2.33918661191556,?,40.8,7.1,-0.023559,45.60,25.20,21.28,4.20,1.80,1.00,0.90,0.02
Latvia,13.784,20.0436203206809,5.9,34.2,23.6,56.879635,30.60,31.00,17.00,6.00,5.40,6.00,3.00,1.00
Lebanon,4.395,7.00236813439294,3.5,31.8,32,33.854721,38.40,32.30,9.50,3.20,7.70,6.50,1.70,0.70
Lithuania,27.183,19.7050331564608,7.4,37.4,26.3,55.169438,36.00,33.00,11.00,4.00,7.00,6.00,2.00,1.00
Malaysia,3.646,6.67175462547886,1.79,41,15.6,4.210484,34.32,30.35,27.37,7.46,0.17,0.15,0.14,0.04
Malta,20.383,20.3493242997122,4.4,29.4,28.9,35.937496,38.00,41.00,7.00,3.00,5.00,4.50,1.00,0.50
Mauritania,13.119,3.14111215805009,?,32.6,12.7,21.00789,46.30,26.68,17.47,3.85,2.80,1.60,1.10,0.20
Mauritius,7.863,11.4741730686522,3.4,38.5,10.8,-20.348404,38.30,26.00,25.00,6.70,1.70,1.00,1.00,0.30
Mexico,119.109,7.22368498087198,1.5,48.3,28.9,23.634501,59.09,26.23,8.53,1.73,2.73,1.21,0.40,0.08
Moldova,91.969,11.4695563413512,6.2,25.9,18.9,47.411631,28.50,31.80,17.60,7.00,5.00,6.00,3.00,1.10
Mongolia,0,4.08353878726245,6.75,32.3,20.6,46.862496,55.40,27.70,10.90,4.96,0.60,0.30,0.10,0.04
Morocco,5.689,7.0129048211122,0.9,39.5,26.1,31.791702,42.30,29.80,14.30,4.10,4.50,3.10,1.50,0.40
Nepal,0.515,5.72767077569198,?,32.8,4.1,28.394857,35.20,28.30,27.10,8.60,0.30,0.20,0.20,0.10
Netherlands,352.614,19.1961926333387,?,28.2,20.4,52.132633,39.50,35.00,6.70,2.50,7.50,7.00,1.30,0.50
Nigeria,1.853,2.74737700532743,?,43,8.9,9.081999,51.30,22.40,20.70,2.60,1.60,0.70,0.60,0.10
Norway,44.086,17.0492221563211,4.2,27.5,23.1,60.472024,33.20,41.60,6.80,3.40,5.80,7.40,1.20,0.60
Pakistan,10.666,4.31277431133756,0.6,33.5,8.6,30.375321,26.63,21.60,34.40,9.52,2.17,1.66,3.57,0.45
Papua New Guinea,0,3.44526925145617,?,41.9,21.3,-6.314993,48.00,37.20,9.60,2.80,1.00,0.80,0.40,0.20
Peru,179.032,8.08839279183076,1.5,43.3,19.7,-9.189967,70.00,18.40,7.80,1.60,1.40,0.50,0.28,0.02
Philippines,9.372,5.12256876829946,1,44.4,6.4,12.879721,45.90,22.90,24.90,5.97,0.10,0.10,0.10,0.03
Poland,31.865,17.5178167625452,6.5,31.8,23.1,51.919438,31.00,32.00,15.00,7.00,6.00,6.00,2.00,1.00
Portugal,146.616,21.9538575375873,3.4,35.5,20.8,39.399872,36.20,39.80,6.60,2.90,6.10,6.80,1.10,0.50
Romania,70.695,18.3387013938296,6.1,35.9,22.5,45.943161,28.00,36.50,13.60,6.80,5.00,6.50,2.40,1.20
Serbia,36.887,18.3457926916963,5.6,39.6,21.5,44.016521,31.92,35.28,12.60,4.20,6.08,6.72,2.40,0.80
Slovenia,52.431,19.6068796541788,4.6,25.4,20.2,46.151241,31.00,33.00,12.00,6.00,7.00,7.00,3.00,1.00
South Africa,20.402,5.31800500542302,?,63,28.3,-30.559482,39.00,32.00,12.00,3.00,6.00,5.00,2.00,1.00
Spain,580.39,19.3785075224995,3.1,36.2,23.8,40.463667,35.00,36.00,8.00,2.50,9.00,7.00,2.00,0.50
Sudan,8.871,3.58116052825144,0.8,35.4,6.6,12.862807,48.00,27.70,15.20,2.80,3.50,1.80,0.80,0.20
Sweden,474.787,20.0955249278002,2.7,29.2,20.6,60.128161,32.00,37.00,10.00,5.00,6.00,7.00,2.00,1.00
Switzerland,193.423,18.6232165647717,4.9,32.3,19.5,46.818188,35.00,38.00,8.00,4.00,6.00,7.00,1.00,1.00
Thailand,0.831,11.9008931395893,?,36.5,10,15.870032,40.80,16.90,36.80,4.97,0.20,0.10,0.20,0.03
Turkey,56.273,8.4832129399716,2.5,41.9,32.1,38.963745,29.80,37.80,14.20,7.20,3.90,4.70,1.60,0.80
Uganda,0,1.94098692046317,?,42.8,5.3,1.373333,43.70,39.00,10.70,3.90,1.30,1.00,0.30,0.10
Ukraine,19.047,16.4346864392016,9,25,24.1,48.379433,32.00,34.00,15.00,5.00,5.00,6.00,2.00,1.00
United Kingdom,605.839,18.3958656741466,2.9,33.2,27.8,55.378051,38.00,32.00,8.00,3.00,9.00,7.00,2.00,1.00
Venezuela,0.809,7.26698662012597,0.9,46.9,25.6,6.42375,58.30,28.20,5.60,1.90,3.70,1.80,0.40,0.10
Vietnam,0,7.2749782978793,?,35.3,2.1,14.058324,41.70,21.90,30.80,4.98,0.30,0.10,0.20,0.02
Yemen,4.325,2.87626975604452,0.7,36.7,17.1,15.552727,47.84,27.50,15.32,2.14,3.66,2.10,1.17,0.16
Zimbabwe,0.269,2.93952365300113,1.7,43.2,15.5,-19.015438,63.30,18.50,14.60,0.99,1.70,0.50,0.40,0.01
